codigo;ferramenta;data
151103;ALAVANCA;2024-01-29
171314;ALICATE HIDRÁULICO;2024-01-29
171280;APLICADOR DE ADESIVO EPÓXI;2024-01-29
151145;APLICADOR DE ADESIVO EPÓXI;2024-01-29
170876;APLICADOR DE ADESIVO EPÓXI;2024-01-29
171288;BALDE METÁLICO 10 L;2024-01-29
171318;BALDE METÁLICO 10 L;2024-01-29
171319;BALDE METÁLICO 10 L;2024-01-29
171363;BALDE METÁLICO 10 L;2024-01-29
171364;BALDE METÁLICO 10 L;2024-01-29
171385;BALDE METÁLICO 10 L;2024-01-29
171359;BALDE METÁLICO 10 L;2024-01-29
171366;BALDE METÁLICO 10 L;2024-01-29
171358;BALDE METÁLICO 10 L;2024-01-29
171357;BALDE METÁLICO 10 L;2024-01-29
171289;BALDE METÁLICO 10 L;2024-01-29
171291;BALDE METÁLICO 10 L;2024-01-29
171290;BALDE METÁLICO 10 L;2024-01-29
171382;BALDE METÁLICO 10 L;2024-01-29
171324;BALDE METÁLICO 10 L;2024-01-29
171396;BATERIA PARA PISTOLA FINCA PINOS;2024-01-29
170602;BATERIA PARA PISTOLA FINCA PINOS;2024-01-29
171279;PISTOLA FINCA PINOS (HILTI);2024-01-29
171198;BOCA DE LOBO - GRANDE;2024-01-29
171195;BOCA DE LOBO - GRANDE ;2024-01-29
171197;BOCA DE LOBO GRANDE;2024-01-29
171021;BOMBA PARA TESTE HIDROSTÁTICO;2024-01-29
171259;CARRO DE MÃO;2024-01-29
171244;CARRO DE MÃO;2024-01-29
151137;CARRO DE MÃO;2024-01-29
151188;CARRO DE MÃO ;2024-01-29
171191;CAVADEIRA PEQUENA (BOCA DE LOBO);2024-01-29
171190;CAVADEIRA PEQUENA (BOCA DE LOBO);2024-01-29
172662; CHAVE DE APT 104 -BLOC 18;2024-01-29
171014;CHAVE CATRACA MACOCO HIDRÁULICO;2024-01-29
171350;CHAVE COMBINADA - 10 MM;2024-01-29
171349;CHAVE COMBINADA - 10 MM;2024-01-29
171398;CHAVE COMBINADA - 13 MM;2024-01-29
171355;CHAVE COMBINADA - 13 MM;2024-01-29
171354;CHAVE COMBINADA - 13 MM;2024-01-29
171378;CHAVE COMBINADA - 13 MM;2024-01-29
171386;CHAVE COMBINADA - 13 MM;2024-01-29
171335;CHAVE COMBINADA - 13 MM;2024-01-29
171387;CHAVE COMBINADA - 14 MM;2024-01-29
